class,kind,type,qualifier,severity,line,procedure,procedure_id,file,trace,key,qualifier_tags,hash,bug_id,always_report,advice
PROVER,ERROR,NULL_DEREFERENCE,"object `null` could be null and is dereferenced by call to `a(...)` at line 5",HIGH,5,"int InterproceduralMethodOrdering.test1()","java.npe.InterproceduralMethodOrdering.test1():int.ea40eef64e3453aa1e7da659c38d256c",src/main/java/java/npe/InterproceduralMethodOrdering.java,"{""trace"":[{""level"":0,""filename"":""src/main/java/java/npe/InterproceduralMethodOrdering.java"",""line_number"":4,""column_number"":-1,""description"":""start of procedure test1()"",""node_tags"":[{""tag"":""kind"",""value"":""procedure_start""},{""tag"":""name"",""value"":""int InterproceduralMethodOrdering.test1()""},{""tag"":""name_id"",""value"":""java.npe.InterproceduralMethodOrdering.test1():int.ea40eef64e3453aa1e7da659c38d256c""}]},{""level"":0,""filename"":""src/main/java/java/npe/InterproceduralMethodOrdering.java"",""line_number"":5,""column_number"":-1,""description"":"""",""node_tags"":[]},{""level"":1,""filename"":""src/main/java/java/npe/InterproceduralMethodOrdering.java"",""line_number"":20,""column_number"":-1,""description"":""start of procedure a(...)"",""node_tags"":[{""tag"":""kind"",""value"":""procedure_start""},{""tag"":""name"",""value"":""int InterproceduralMethodOrdering.a(Object)""},{""tag"":""name_id"",""value"":""java.npe.InterproceduralMethodOrdering.a(java.lang.Object):int.e336e73fbc91b02a6f62176a6f6eda16""}]},{""level"":1,""filename"":""src/main/java/java/npe/InterproceduralMethodOrdering.java"",""line_number"":21,""column_number"":-1,""description"":"""",""node_tags"":[]},{""level"":2,""filename"":""src/main/java/java/npe/InterproceduralMethodOrdering.java"",""line_number"":52,""column_number"":-1,""description"":""start of procedure z(...)"",""node_tags"":[{""tag"":""kind"",""value"":""procedure_start""},{""tag"":""name"",""value"":""int InterproceduralMethodOrdering.z(Object)""},{""tag"":""name_id"",""value"":""java.npe.InterproceduralMethodOrdering.z(java.lang.Object):int.7e4d932a2c0c054976a928dfb98f9cf2""}]},{""level"":2,""filename"":""src/main/java/java/npe/InterproceduralMethodOrdering.java"",""line_number"":53,""column_number"":-1,""description"":"""",""node_tags"":[]},{""level"":3,""filename"":""src/main/java/java/npe/InterproceduralMethodOrdering.java"",""line_number"":24,""column_number"":-1,""description"":""start of procedure b(...)"",""node_tags"":[{""tag"":""kind"",""value"":""procedure_start""},{""tag"":""name"",""value"":""int InterproceduralMethodOrdering.b(Object)""},{""tag"":""name_id"",""value"":""java.npe.InterproceduralMethodOrdering.b(java.lang.Object):int.9b8c631f21c28d335294c76263d58cdd""}]},{""level"":3,""filename"":""src/main/java/java/npe/InterproceduralMethodOrdering.java"",""line_number"":25,""column_number"":-1,""description"":"""",""node_tags"":[]},{""level"":4,""filename"":""src/main/java/java/npe/InterproceduralMethodOrdering.java"",""line_number"":48,""column_number"":-1,""description"":""start of procedure y(...)"",""node_tags"":[{""tag"":""kind"",""value"":""procedure_start""},{""tag"":""name"",""value"":""int InterproceduralMethodOrdering.y(Object)""},{""tag"":""name_id"",""value"":""java.npe.InterproceduralMethodOrdering.y(java.lang.Object):int.76e8e0759e4ccf7e31b21464c85869df""}]},{""level"":4,""filename"":""src/main/java/java/npe/InterproceduralMethodOrdering.java"",""line_number"":49,""column_number"":-1,""description"":"""",""node_tags"":[]},{""level"":5,""filename"":""src/main/java/java/npe/InterproceduralMethodOrdering.java"",""line_number"":28,""column_number"":-1,""description"":""start of procedure c(...)"",""node_tags"":[{""tag"":""kind"",""value"":""procedure_start""},{""tag"":""name"",""value"":""int InterproceduralMethodOrdering.c(Object)""},{""tag"":""name_id"",""value"":""java.npe.InterproceduralMethodOrdering.c(java.lang.Object):int.1917eabfe425452f7f2da62377588bfe""}]},{""level"":5,""filename"":""src/main/java/java/npe/InterproceduralMethodOrdering.java"",""line_number"":29,""column_number"":-1,""description"":"""",""node_tags"":[]},{""level"":6,""filename"":""src/main/java/java/npe/InterproceduralMethodOrdering.java"",""line_number"":45,""column_number"":-1,""description"":""start of procedure x(...)"",""node_tags"":[{""tag"":""kind"",""value"":""procedure_start""},{""tag"":""name"",""value"":""int InterproceduralMethodOrdering.x(Object)""},{""tag"":""name_id"",""value"":""java.npe.InterproceduralMethodOrdering.x(java.lang.Object):int.5f5741d1dad6bd1fd442931f905ca030""}]},{""level"":7,""filename"":""src/main/java/java/npe/InterproceduralMethodOrdering.java"",""line_number"":32,""column_number"":-1,""description"":""start of procedure d(...)"",""node_tags"":[{""tag"":""kind"",""value"":""procedure_start""},{""tag"":""name"",""value"":""int InterproceduralMethodOrdering.d(Object)""},{""tag"":""name_id"",""value"":""java.npe.InterproceduralMethodOrdering.d(java.lang.Object):int.c89c6bc11fb0f1f43ba092ae4b0e977b""}]},{""level"":7,""filename"":""src/main/java/java/npe/InterproceduralMethodOrdering.java"",""line_number"":33,""column_number"":-1,""description"":"""",""node_tags"":[]},{""level"":8,""filename"":""src/main/java/java/npe/InterproceduralMethodOrdering.java"",""line_number"":40,""column_number"":-1,""description"":""start of procedure w(...)"",""node_tags"":[{""tag"":""kind"",""value"":""procedure_start""},{""tag"":""name"",""value"":""int InterproceduralMethodOrdering.w(Object)""},{""tag"":""name_id"",""value"":""java.npe.InterproceduralMethodOrdering.w(java.lang.Object):int.db01e2c7e157cde2257c8878c5aaed6e""}]},{""level"":8,""filename"":""src/main/java/java/npe/InterproceduralMethodOrdering.java"",""line_number"":41,""column_number"":-1,""description"":"""",""node_tags"":[]},{""level"":9,""filename"":""src/main/java/java/npe/InterproceduralMethodOrdering.java"",""line_number"":37,""column_number"":-1,""description"":""start of procedure e(...)"",""node_tags"":[{""tag"":""kind"",""value"":""procedure_start""},{""tag"":""name"",""value"":""int InterproceduralMethodOrdering.e(Object)""},{""tag"":""name_id"",""value"":""java.npe.InterproceduralMethodOrdering.e(java.lang.Object):int.9cee14eab866c8078c1044e4cfb623d2""}]}]}","585268307","<qualifier_tags><bucket>B1</bucket><line>5</line><value>null</value><call_procedure>a(...)</call_procedure></qualifier_tags>","967214300","1","false",""
PROVER,ERROR,NULL_DEREFERENCE,"object `o` last assigned on line 8 could be null and is dereferenced at line 15",HIGH,15,"void NullComplexPath.main(java.lang.String[])","java.npe.NullComplexPath.main(java.lang.String[]):void.0ac321a0f0d9f92d5acb33519e9e8f38",src/main/java/java/npe/NullComplexPath.java,"{""trace"":[{""level"":0,""filename"":""src/main/java/java/npe/NullComplexPath.java"",""line_number"":4,""column_number"":-1,""description"":""start of procedure main(...)"",""node_tags"":[{""tag"":""kind"",""value"":""procedure_start""},{""tag"":""name"",""value"":""void NullComplexPath.main(java.lang.String[])""},{""tag"":""name_id"",""value"":""java.npe.NullComplexPath.main(java.lang.String[]):void.0ac321a0f0d9f92d5acb33519e9e8f38""}]},{""level"":0,""filename"":""src/main/java/java/npe/NullComplexPath.java"",""line_number"":5,""column_number"":-1,""description"":""Taking false branch"",""node_tags"":[{""tag"":""kind"",""value"":""condition""},{""tag"":""branch"",""value"":""false""}]},{""level"":0,""filename"":""src/main/java/java/npe/NullComplexPath.java"",""line_number"":8,""column_number"":-1,""description"":"""",""node_tags"":[]},{""level"":0,""filename"":""src/main/java/java/npe/NullComplexPath.java"",""line_number"":10,""column_number"":-1,""description"":""Taking false branch"",""node_tags"":[{""tag"":""kind"",""value"":""condition""},{""tag"":""branch"",""value"":""false""}]},{""level"":0,""filename"":""src/main/java/java/npe/NullComplexPath.java"",""line_number"":14,""column_number"":-1,""description"":""Taking true branch"",""node_tags"":[{""tag"":""kind"",""value"":""condition""},{""tag"":""branch"",""value"":""true""}]},{""level"":0,""filename"":""src/main/java/java/npe/NullComplexPath.java"",""line_number"":15,""column_number"":-1,""description"":"""",""node_tags"":[]}]}","894341915","<qualifier_tags><bucket>B1</bucket><line>15</line><assigned_line>8</assigned_line><value>o</value></qualifier_tags>","467902531","2","false",""
PROVER,ERROR,NULL_DEREFERENCE,"object `s` last assigned on line 6 could be null and is dereferenced at line 20",HIGH,20,"int CorrectlyLocalizeWarning.f(int)","java.npe.CorrectlyLocalizeWarning.f(int):int.029c449efaaff06d4272ed7ac9b921e7",src/main/java/java/npe/CorrectlyLocalizeWarning.java,"{""trace"":[{""level"":0,""filename"":""src/main/java/java/npe/CorrectlyLocalizeWarning.java"",""line_number"":5,""column_number"":-1,""description"":""start of procedure f(...)"",""node_tags"":[{""tag"":""kind"",""value"":""procedure_start""},{""tag"":""name"",""value"":""int CorrectlyLocalizeWarning.f(int)""},{""tag"":""name_id"",""value"":""java.npe.CorrectlyLocalizeWarning.f(int):int.029c449efaaff06d4272ed7ac9b921e7""}]},{""level"":0,""filename"":""src/main/java/java/npe/CorrectlyLocalizeWarning.java"",""line_number"":6,""column_number"":-1,""description"":"""",""node_tags"":[]},{""level"":0,""filename"":""src/main/java/java/npe/CorrectlyLocalizeWarning.java"",""line_number"":7,""column_number"":-1,""description"":""Taking false branch"",""node_tags"":[{""tag"":""kind"",""value"":""condition""},{""tag"":""branch"",""value"":""false""}]},{""level"":0,""filename"":""src/main/java/java/npe/CorrectlyLocalizeWarning.java"",""line_number"":9,""column_number"":-1,""description"":""Taking false branch"",""node_tags"":[{""tag"":""kind"",""value"":""condition""},{""tag"":""branch"",""value"":""false""}]},{""level"":0,""filename"":""src/main/java/java/npe/CorrectlyLocalizeWarning.java"",""line_number"":11,""column_number"":-1,""description"":""Taking true branch"",""node_tags"":[{""tag"":""kind"",""value"":""condition""},{""tag"":""branch"",""value"":""true""}]},{""level"":0,""filename"":""src/main/java/java/npe/CorrectlyLocalizeWarning.java"",""line_number"":12,""column_number"":-1,""description"":""Skipping println(...): unknown method"",""node_tags"":[]},{""level"":0,""filename"":""src/main/java/java/npe/CorrectlyLocalizeWarning.java"",""line_number"":20,""column_number"":-1,""description"":"""",""node_tags"":[]}]}","78539676","<qualifier_tags><bucket>B1</bucket><line>20</line><assigned_line>6</assigned_line><value>s</value></qualifier_tags>","546981042","3","false",""
PROVER,ERROR,NULL_DEREFERENCE,"object `o` last assigned on line 6 could be null and is dereferenced at line 10",HIGH,10,"void DoomedNullDereference.notDoomed(boolean)","java.npe.DoomedNullDereference.notDoomed(boolean):void.6a0edaa4e120e595cfa62aad2dd07218",src/main/java/java/npe/DoomedNullDereference.java,"{""trace"":[{""level"":0,""filename"":""src/main/java/java/npe/DoomedNullDereference.java"",""line_number"":5,""column_number"":-1,""description"":""start of procedure notDoomed(...)"",""node_tags"":[{""tag"":""kind"",""value"":""procedure_start""},{""tag"":""name"",""value"":""void DoomedNullDereference.notDoomed(boolean)""},{""tag"":""name_id"",""value"":""java.npe.DoomedNullDereference.notDoomed(boolean):void.6a0edaa4e120e595cfa62aad2dd07218""}]},{""level"":0,""filename"":""src/main/java/java/npe/DoomedNullDereference.java"",""line_number"":6,""column_number"":-1,""description"":"""",""node_tags"":[]},{""level"":0,""filename"":""src/main/java/java/npe/DoomedNullDereference.java"",""line_number"":7,""column_number"":-1,""description"":""Taking false branch"",""node_tags"":[{""tag"":""kind"",""value"":""condition""},{""tag"":""branch"",""value"":""false""}]},{""level"":0,""filename"":""src/main/java/java/npe/DoomedNullDereference.java"",""line_number"":10,""column_number"":-1,""description"":"""",""node_tags"":[]}]}","1017770214","<qualifier_tags><bucket>B1</bucket><line>10</line><assigned_line>6</assigned_line><value>o</value></qualifier_tags>","850448917","4","false",""
PROVER,ERROR,NULL_DEREFERENCE,"object `y` last assigned on line 7 could be null and is dereferenced at line 25",HIGH,25,"int GuaranteedDereferenceLocationReporting.f(int)","java.npe.GuaranteedDereferenceLocationReporting.f(int):int.57c86a1a599eeeb1b1c9ec36c9c791f3",src/main/java/java/npe/GuaranteedDereferenceLocationReporting.java,"{""trace"":[{""level"":0,""filename"":""src/main/java/java/npe/GuaranteedDereferenceLocationReporting.java"",""line_number"":5,""column_number"":-1,""description"":""start of procedure f(...)"",""node_tags"":[{""tag"":""kind"",""value"":""procedure_start""},{""tag"":""name"",""value"":""int GuaranteedDereferenceLocationReporting.f(int)""},{""tag"":""name_id"",""value"":""java.npe.GuaranteedDereferenceLocationReporting.f(int):int.57c86a1a599eeeb1b1c9ec36c9c791f3""}]},{""level"":0,""filename"":""src/main/java/java/npe/GuaranteedDereferenceLocationReporting.java"",""line_number"":6,""column_number"":-1,""description"":"""",""node_tags"":[]},{""level"":0,""filename"":""src/main/java/java/npe/GuaranteedDereferenceLocationReporting.java"",""line_number"":7,""column_number"":-1,""description"":"""",""node_tags"":[]},{""level"":0,""filename"":""src/main/java/java/npe/GuaranteedDereferenceLocationReporting.java"",""line_number"":8,""column_number"":-1,""description"":""Taking true branch"",""node_tags"":[{""tag"":""kind"",""value"":""condition""},{""tag"":""branch"",""value"":""true""}]},{""level"":0,""filename"":""src/main/java/java/npe/GuaranteedDereferenceLocationReporting.java"",""line_number"":8,""column_number"":-1,""description"":""Taking false branch"",""node_tags"":[{""tag"":""kind"",""value"":""condition""},{""tag"":""branch"",""value"":""false""}]},{""level"":0,""filename"":""src/main/java/java/npe/GuaranteedDereferenceLocationReporting.java"",""line_number"":21,""column_number"":-1,""description"":""Taking true branch"",""node_tags"":[{""tag"":""kind"",""value"":""condition""},{""tag"":""branch"",""value"":""true""}]},{""level"":0,""filename"":""src/main/java/java/npe/GuaranteedDereferenceLocationReporting.java"",""line_number"":22,""column_number"":-1,""description"":"""",""node_tags"":[]},{""level"":0,""filename"":""src/main/java/java/npe/GuaranteedDereferenceLocationReporting.java"",""line_number"":25,""column_number"":-1,""description"":"""",""node_tags"":[]}]}","374979173","<qualifier_tags><bucket>B1</bucket><line>25</line><assigned_line>7</assigned_line><value>y</value></qualifier_tags>","445138010","5","false",""
PROVER,ERROR,NULL_DEREFERENCE,"object `x` last assigned on line 6 could be null and is dereferenced at line 12",HIGH,12,"int IdentifyCorrectBranchPlease.f(boolean)","java.npe.IdentifyCorrectBranchPlease.f(boolean):int.0179debf419b11b9dcce2d0f986d93ea",src/main/java/java/npe/IdentifyCorrectBranchPlease.java,"{""trace"":[{""level"":0,""filename"":""src/main/java/java/npe/IdentifyCorrectBranchPlease.java"",""line_number"":5,""column_number"":-1,""description"":""start of procedure f(...)"",""node_tags"":[{""tag"":""kind"",""value"":""procedure_start""},{""tag"":""name"",""value"":""int IdentifyCorrectBranchPlease.f(boolean)""},{""tag"":""name_id"",""value"":""java.npe.IdentifyCorrectBranchPlease.f(boolean):int.0179debf419b11b9dcce2d0f986d93ea""}]},{""level"":0,""filename"":""src/main/java/java/npe/IdentifyCorrectBranchPlease.java"",""line_number"":6,""column_number"":-1,""description"":"""",""node_tags"":[]},{""level"":0,""filename"":""src/main/java/java/npe/IdentifyCorrectBranchPlease.java"",""line_number"":7,""column_number"":-1,""description"":""Taking false branch"",""node_tags"":[{""tag"":""kind"",""value"":""condition""},{""tag"":""branch"",""value"":""false""}]},{""level"":0,""filename"":""src/main/java/java/npe/IdentifyCorrectBranchPlease.java"",""line_number"":10,""column_number"":-1,""description"":"""",""node_tags"":[]},{""level"":0,""filename"":""src/main/java/java/npe/IdentifyCorrectBranchPlease.java"",""line_number"":12,""column_number"":-1,""description"":"""",""node_tags"":[]}]}","146695459","<qualifier_tags><bucket>B1</bucket><line>12</line><assigned_line>6</assigned_line><value>x</value></qualifier_tags>","1066621163","6","false",""
PROVER,ERROR,NULL_DEREFERENCE,"object `s` last assigned on line 6 could be null and is dereferenced at line 20",HIGH,20,"int InSwitchStatement.f(int)","java.npe.InSwitchStatement.f(int):int.a75ab873ddd2a2b99d4f559dd3792a18",src/main/java/java/npe/InSwitchStatement.java,"{""trace"":[{""level"":0,""filename"":""src/main/java/java/npe/InSwitchStatement.java"",""line_number"":5,""column_number"":-1,""description"":""start of procedure f(...)"",""node_tags"":[{""tag"":""kind"",""value"":""procedure_start""},{""tag"":""name"",""value"":""int InSwitchStatement.f(int)""},{""tag"":""name_id"",""value"":""java.npe.InSwitchStatement.f(int):int.a75ab873ddd2a2b99d4f559dd3792a18""}]},{""level"":0,""filename"":""src/main/java/java/npe/InSwitchStatement.java"",""line_number"":6,""column_number"":-1,""description"":"""",""node_tags"":[]},{""level"":0,""filename"":""src/main/java/java/npe/InSwitchStatement.java"",""line_number"":7,""column_number"":-1,""description"":""Taking true branch"",""node_tags"":[{""tag"":""kind"",""value"":""condition""},{""tag"":""branch"",""value"":""true""}]},{""level"":0,""filename"":""src/main/java/java/npe/InSwitchStatement.java"",""line_number"":7,""column_number"":-1,""description"":""Taking true branch"",""node_tags"":[{""tag"":""kind"",""value"":""condition""},{""tag"":""branch"",""value"":""true""}]},{""level"":0,""filename"":""src/main/java/java/npe/InSwitchStatement.java"",""line_number"":7,""column_number"":-1,""description"":""Taking false branch"",""node_tags"":[{""tag"":""kind"",""value"":""condition""},{""tag"":""branch"",""value"":""false""}]},{""level"":0,""filename"":""src/main/java/java/npe/InSwitchStatement.java"",""line_number"":20,""column_number"":-1,""description"":"""",""node_tags"":[]}]}","512696715","<qualifier_tags><bucket>B1</bucket><line>20</line><assigned_line>6</assigned_line><value>s</value></qualifier_tags>","411088060","7","false",""
PROVER,ERROR,NULL_DEREFERENCE,"object `ret` last assigned on line 6 could be null and is dereferenced at line 10",HIGH,10,"int ZeroTrip.nonNullLoop(java.lang.String[])","java.npe.ZeroTrip.nonNullLoop(java.lang.String[]):int.4e98283ecb6a1f3fe50984088c101af3",src/main/java/java/npe/ZeroTrip.java,"{""trace"":[{""level"":0,""filename"":""src/main/java/java/npe/ZeroTrip.java"",""line_number"":5,""column_number"":-1,""description"":""start of procedure nonNullLoop(...)"",""node_tags"":[{""tag"":""kind"",""value"":""procedure_start""},{""tag"":""name"",""value"":""int ZeroTrip.nonNullLoop(java.lang.String[])""},{""tag"":""name_id"",""value"":""java.npe.ZeroTrip.nonNullLoop(java.lang.String[]):int.4e98283ecb6a1f3fe50984088c101af3""}]},{""level"":0,""filename"":""src/main/java/java/npe/ZeroTrip.java"",""line_number"":6,""column_number"":-1,""description"":"""",""node_tags"":[]},{""level"":0,""filename"":""src/main/java/java/npe/ZeroTrip.java"",""line_number"":7,""column_number"":-1,""description"":""Taking false branch"",""node_tags"":[{""tag"":""kind"",""value"":""condition""},{""tag"":""branch"",""value"":""false""}]},{""level"":0,""filename"":""src/main/java/java/npe/ZeroTrip.java"",""line_number"":10,""column_number"":-1,""description"":"""",""node_tags"":[]}]}","67819898","<qualifier_tags><bucket>B1</bucket><line>10</line><assigned_line>6</assigned_line><value>ret</value></qualifier_tags>","1024671288","8","false",""
PROVER,ERROR,NULL_DEREFERENCE,"object `n` last assigned on line 11 could be null and is dereferenced at line 18",HIGH,18,"void NullDeref.main(java.lang.String[])","java.npe.NullDeref.main(java.lang.String[]):void.d0b7874ba826b66260204f06a2cdd5c6",src/main/java/java/npe/NullDeref.java,"{""trace"":[{""level"":0,""filename"":""src/main/java/java/npe/NullDeref.java"",""line_number"":7,""column_number"":-1,""description"":""start of procedure main(...)"",""node_tags"":[{""tag"":""kind"",""value"":""procedure_start""},{""tag"":""name"",""value"":""void NullDeref.main(java.lang.String[])""},{""tag"":""name_id"",""value"":""java.npe.NullDeref.main(java.lang.String[]):void.d0b7874ba826b66260204f06a2cdd5c6""}]},{""level"":0,""filename"":""src/main/java/java/npe/NullDeref.java"",""line_number"":8,""column_number"":-1,""description"":"""",""node_tags"":[]},{""level"":1,""filename"":""src/main/java/java/npe/NullDeref.java"",""line_number"":3,""column_number"":-1,""description"":""start of procedure NullDeref()"",""node_tags"":[{""tag"":""kind"",""value"":""procedure_start""},{""tag"":""name"",""value"":""NullDeref.<init>()""},{""tag"":""name_id"",""value"":""java.npe.NullDeref.<init>().ae3594e2756fd7ef8f4a5a6304ba72ae""}]},{""level"":1,""filename"":""src/main/java/java/npe/NullDeref.java"",""line_number"":3,""column_number"":-1,""description"":""return from a call to NullDeref.<init>()"",""node_tags"":[{""tag"":""kind"",""value"":""procedure_end""},{""tag"":""name"",""value"":""NullDeref.<init>()""},{""tag"":""name_id"",""value"":""java.npe.NullDeref.<init>().ae3594e2756fd7ef8f4a5a6304ba72ae""}]},{""level"":0,""filename"":""src/main/java/java/npe/NullDeref.java"",""line_number"":10,""column_number"":-1,""description"":"""",""node_tags"":[]},{""level"":0,""filename"":""src/main/java/java/npe/NullDeref.java"",""line_number"":11,""column_number"":-1,""description"":"""",""node_tags"":[]},{""level"":0,""filename"":""src/main/java/java/npe/NullDeref.java"",""line_number"":13,""column_number"":-1,""description"":""Taking true branch"",""node_tags"":[{""tag"":""kind"",""value"":""condition""},{""tag"":""branch"",""value"":""true""}]},{""level"":0,""filename"":""src/main/java/java/npe/NullDeref.java"",""line_number"":14,""column_number"":-1,""description"":""Skipping println(...): unknown method"",""node_tags"":[]},{""level"":0,""filename"":""src/main/java/java/npe/NullDeref.java"",""line_number"":16,""column_number"":-1,""description"":""Taking true branch"",""node_tags"":[{""tag"":""kind"",""value"":""condition""},{""tag"":""branch"",""value"":""true""}]},{""level"":0,""filename"":""src/main/java/java/npe/NullDeref.java"",""line_number"":17,""column_number"":-1,""description"":""Skipping println(...): unknown method"",""node_tags"":[]},{""level"":0,""filename"":""src/main/java/java/npe/NullDeref.java"",""line_number"":18,""column_number"":-1,""description"":"""",""node_tags"":[]}]}","605834703","<qualifier_tags><bucket>B1</bucket><line>18</line><assigned_line>11</assigned_line><value>n</value></qualifier_tags>","885576211","9","false",""
PROVER,ERROR,NULL_DEREFERENCE,"object `x` last assigned on line 9 could be null and is dereferenced at line 10",HIGH,10,"int NullPointerCategories.alwaysNull()","java.npe.NullPointerCategories.alwaysNull():int.6ffc08c13feb5e4f945d4f5e3153bf76",src/main/java/java/npe/NullPointerCategories.java,"{""trace"":[{""level"":0,""filename"":""src/main/java/java/npe/NullPointerCategories.java"",""line_number"":8,""column_number"":-1,""description"":""start of procedure alwaysNull()"",""node_tags"":[{""tag"":""kind"",""value"":""procedure_start""},{""tag"":""name"",""value"":""int NullPointerCategories.alwaysNull()""},{""tag"":""name_id"",""value"":""java.npe.NullPointerCategories.alwaysNull():int.6ffc08c13feb5e4f945d4f5e3153bf76""}]},{""level"":0,""filename"":""src/main/java/java/npe/NullPointerCategories.java"",""line_number"":9,""column_number"":-1,""description"":"""",""node_tags"":[]},{""level"":0,""filename"":""src/main/java/java/npe/NullPointerCategories.java"",""line_number"":10,""column_number"":-1,""description"":"""",""node_tags"":[]}]}","348644843","<qualifier_tags><bucket>B1</bucket><line>10</line><assigned_line>9</assigned_line><value>x</value></qualifier_tags>","43985638","10","false",""
